"Capítulo CID-10";"Óbitos p/Ocorrênc"
"I.   Algumas doenças infecciosas e parasitárias";56666
"II.  Neoplasias (tumores)";235301
"III. Doenças sangue órgãos hemat e transt imunitár";7068
"IV.  Doenças endócrinas nutricionais e metabólicas";83485
"V.   Transtornos mentais e comportamentais";14526
"VI.  Doenças do sistema nervoso";45235
"VII. Doenças do olho e anexos";23
"VIII.Doenças do ouvido e da apófise mastóide";206
"IX.  Doenças do aparelho circulatório";364132
"X.   Doenças do aparelho respiratório";162005
"XI.  Doenças do aparelho digestivo";68770
"XII. Doenças da pele e do tecido subcutâneo";7152
"XIII.Doenças sist osteomuscular e tec conjuntivo";6506
"XIV. Doenças do aparelho geniturinário";47566
"XV.  Gravidez parto e puerpério";1726
"XVI. Algumas afec originadas no período perinatal";20354
"XVII.Malf cong deformid e anomalias cromossômicas";11308
"XVIII.Sint sinais e achad anorm ex clín e laborat";74972
"XX.  Causas externas de morbidade e mortalidade";142800
"Total";1349801
